City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
63,Avarua,2022-08-10 04:16:59,-21.2078,-159.775,75.25,69,40,8.05,scattered clouds
64,Balkanabat,2022-08-10 04:17:00,39.5108,54.3671,87.55,37,48,12.21,scattered clouds
65,Kruisfontein,2022-08-10 04:17:00,-34.0033,24.7314,55.89,91,82,10.74,broken clouds
66,Yumen,2022-08-10 04:17:00,40.2833,97.2,84.9,37,9,17.6,clear sky
67,Bluff,2022-08-10 04:17:01,-46.6,168.3333,47.8,70,89,8.01,overcast clouds
68,Mantua,2022-08-10 04:17:01,45.1667,10.7833,78.04,71,18,5.01,few clouds
69,Wakkanai,2022-08-10 04:17:02,45.4094,141.6739,80.58,47,20,17.27,few clouds
70,Lac Du Bonnet,2022-08-10 04:15:05,50.2536,-96.0612,57.99,81,0,2.55,clear sky
71,Thompson,2022-08-10 04:17:02,55.7435,-97.8558,51.96,93,75,8.05,broken clouds
72,Puerto Ayora,2022-08-10 04:16:59,-0.7393,-90.3518,69.55,91,87,7.0,overcast clouds
73,Arak,2022-08-10 04:15:08,34.0917,49.6892,74.16,57,0,16.11,clear sky
74,Deputatskiy,2022-08-10 04:17:03,69.3,139.9,64.2,40,0,1.95,clear sky
75,Tapikan,2022-08-10 04:17:03,6.8519,124.3225,84.29,64,43,2.59,scattered clouds
76,Nikolskoye,2022-08-10 04:17:04,59.7035,30.7861,60.69,71,44,1.34,scattered clouds
77,Waipawa,2022-08-10 04:17:04,-41.4122,175.5153,43.02,70,100,7.9,overcast clouds
78,Touros,2022-08-10 04:17:05,-5.1989,-35.4608,72.1,89,4,11.21,clear sky
79,Poum,2022-08-10 04:17:05,-20.2333,164.0167,71.69,56,7,22.91,clear sky
80,Dikson,2022-08-10 04:17:05,73.5069,80.5464,40.33,83,100,14.67,overcast clouds
81,Jamestown,2022-08-10 04:13:36,42.097,-79.2353,63.99,74,75,1.01,broken clouds
82,Santa Isabel Do Rio Negro,2022-08-10 04:17:06,-0.4139,-65.0192,74.01,92,94,2.19,overcast clouds
83,Saint George,2022-08-10 04:15:29,37.1041,-113.5841,83.95,46,40,10.36,scattered clouds
84,Ormond Beach,2022-08-10 04:17:07,29.2858,-81.0559,82.09,91,75,0.0,broken clouds
85,Veraval,2022-08-10 04:17:07,20.9,70.3667,81.59,88,100,19.1,overcast clouds
86,Labuhan,2022-08-10 04:17:08,-6.8844,112.2051,88.23,55,93,4.54,overcast clouds
87,Kununurra,2022-08-10 04:16:34,-15.7667,128.7333,93.18,22,37,6.91,scattered clouds
88,Goderich,2022-08-10 04:17:08,43.7501,-81.7165,58.91,94,2,4.61,clear sky
89,Arraial Do Cabo,2022-08-10 04:17:09,-22.9661,-42.0278,69.67,92,100,17.25,overcast clouds
90,Silver City,2022-08-10 04:17:09,32.7701,-108.2803,69.76,70,40,0.0,scattered clouds
91,Yulara,2022-08-10 04:18:10,-25.2406,130.9889,53.42,79,100,9.51,light rain
92,Severo-Kurilsk,2022-08-10 04:18:10,50.6789,156.125,55.72,98,100,14.54,overcast clouds
93,Kaitangata,2022-08-10 04:18:10,-46.2817,169.8464,45.59,66,98,5.68,overcast clouds
94,Georgetown,2022-08-10 04:18:11,5.4112,100.3354,89.53,71,20,6.91,haze
95,Oussouye,2022-08-10 04:18:11,12.485,-16.5469,78.17,90,78,6.06,broken clouds
96,Mogadishu,2022-08-10 04:18:12,2.0371,45.3438,75.72,88,95,16.08,light rain
97,Flinders,2022-08-10 04:18:12,-34.5833,150.8552,64.18,69,56,4.0,broken clouds
98,Mugumu,2022-08-10 04:18:13,-1.85,34.7,60.76,63,38,4.83,scattered clouds
99,Pocoes,2022-08-10 04:18:13,-14.5297,-40.3653,55.18,97,26,2.53,scattered clouds
100,Luganville,2022-08-10 04:18:13,-15.5333,167.1667,79.75,81,28,6.62,scattered clouds
101,Castro,2022-08-10 04:18:14,-24.7911,-50.0119,52.52,96,100,8.52,overcast clouds
102,Atuona,2022-08-10 04:18:14,-9.8,-139.0333,77.56,68,3,19.33,clear sky
103,Tutoia,2022-08-10 04:18:15,-2.7619,-42.2744,77.31,87,11,10.89,few clouds
104,Osypenko,2022-08-10 04:18:15,46.9136,36.8253,77.5,35,91,11.3,overcast clouds
105,Batagay-Alyta,2022-08-10 04:18:15,67.8006,130.4114,68.99,46,7,5.01,clear sky
106,Saint-Philippe,2022-08-10 04:18:16,-21.3585,55.7679,67.59,77,92,16.96,overcast clouds
107,Kyzyl-Suu,2022-08-10 04:18:16,42.3414,78.0056,67.46,62,77,5.84,broken clouds
108,Qaanaaq,2022-08-10 04:18:17,77.484,-69.3632,32.04,64,0,5.08,clear sky
109,Torbay,2022-08-10 04:15:09,47.6666,-52.7314,57.27,95,100,21.85,moderate rain
110,Nikolayevsk-Na-Amure,2022-08-10 04:18:17,53.1406,140.73,68.7,71,96,1.21,light rain
111,Aklavik,2022-08-10 04:18:17,68.2191,-135.0107,51.6,49,98,11.63,overcast clouds
112,Kenai,2022-08-10 04:18:18,60.5544,-151.2583,56.03,86,100,4.61,overcast clouds
113,Mount Isa,2022-08-10 04:18:18,-20.7333,139.5,80.37,18,7,6.91,clear sky
114,Honningsvag,2022-08-10 04:17:00,70.9821,25.9704,51.55,76,0,11.5,clear sky
115,Reconquista,2022-08-10 04:18:19,-29.15,-59.65,45.91,93,24,5.93,few clouds
116,Hilo,2022-08-10 04:18:19,19.7297,-155.09,85.28,83,75,3.44,broken clouds
117,Hermanus,2022-08-10 04:18:20,-34.4187,19.2345,57.79,79,93,11.65,overcast clouds
118,Clearwater,2022-08-10 04:15:05,27.9659,-82.8001,78.78,85,0,4.61,clear sky
119,Sao Joao Da Barra,2022-08-10 04:18:20,-21.6403,-41.0511,70.79,93,61,10.96,broken clouds
120,Sao Filipe,2022-08-10 04:18:21,14.8961,-24.4956,78.94,87,88,1.05,overcast clouds
121,Bend,2022-08-10 04:14:36,44.0582,-121.3153,68.47,83,0,6.91,clear sky
122,Bereda,2022-08-10 04:18:21,43.2686,-7.5406,63.14,100,38,1.54,scattered clouds
123,Norman Wells,2022-08-10 04:18:22,65.282,-126.8329,60.84,88,75,14.97,broken clouds
124,Pisco,2022-08-10 04:18:22,-13.7,-76.2167,59.05,88,100,5.75,mist
125,Severo-Yeniseyskiy,2022-08-10 04:18:22,60.3725,93.0408,63.52,73,93,5.59,overcast clouds
