,City,Max Temp,Current Description,Lat,Lng,Hotel Name
270,Lancaster,76.44,clear sky,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
274,Ambon,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
275,Tuburan,87.89,overcast clouds,6.6439,122.2736,GT Site
278,Salalah,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
281,Wanning,76.44,moderate rain,18.8003,110.3967,Paradise Hotel
282,Bandarbeyla,80.96,overcast clouds,9.4942,50.8122,JABIR HOTEL
283,High Rock,83.95,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
284,Tessalit,82.96,overcast clouds,20.1986,1.0114,
287,Pietrasanta,77.05,clear sky,43.9522,10.2248,Hotel Central Park
294,Olga,77.54,clear sky,43.7444,135.2892,Gostinitsa Rosmorport.
300,Cottonwood,78.64,few clouds,34.7392,-112.0099,Pines Inn & Suites
301,Semnan,85.84,clear sky,35.5729,53.3971,Semnan Tourist Hotel
303,Male,81.25,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
312,Nicoya,75.45,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
320,Aquiraz,77.09,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
325,Katsuura,84.81,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
328,Payson,83.68,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
330,Kimbe,82.47,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
332,Helong,82.4,clear sky,42.5397,128.9972,Helong Hotel
333,Thinadhoo,81.61,scattered clouds,0.5333,72.9333,
334,Ponnani,79.92,overcast clouds,10.767,75.9252,Rouba Residency
338,Abnub,83.32,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
340,Nurobod,79.75,broken clouds,40.9056,69.8023,
341,Uribia,82.18,overcast clouds,11.7139,-72.266,Hotel Uribia
342,Yashkul,83.39,clear sky,46.1711,45.3435,"Gostinitsa ""Putnik"""
345,Marakkanam,85.62,overcast clouds,12.2,79.95,Samvasa by the Sea
346,Puerto Santander,80.01,overcast clouds,8.3636,-72.4063,Hotel Toronto
